family,claim_id,claim,sample,predictor,outcome,method,null_hypothesis,estimate,ci_low,ci_high,p_value,n,notes,q_value_bh,reject_fdr_0_05,source_table,supported_uncorrected,supported_fdr
shared_alignment,S1,Human and LLM task difficulty are positively aligned on the approved ARC-2 eval overlap.,17 approved ARC-2 eval overlap tasks,human task difficulty,LLM logit difficulty,Pearson r with bootstrap CI and permutation p-value,Task ordering is unrelated between human difficulty and LLM difficulty.,0.5312094235709729,0.1777875385198525,0.7798669050581369,0.0268310974085492,17,,0.0365878601025672,True,statistical_hypothesis_key_tests.csv,True,True
shared_alignment,S2,Human solve rate aligns with average-model pass rate on the same overlap tasks.,17 approved ARC-2 eval overlap tasks,human solve rate,LLM pass rate (all models),Pearson r with bootstrap CI and permutation p-value,Human solve rate and model pass rate are unrelated across tasks.,0.5405659285295044,0.226263344405022,0.7813161581362679,0.0186651112407299,17,,0.0279976668610949,True,statistical_hypothesis_key_tests.csv,True,True
llm_internal_consistency,S3,The older shared-model latent scale and the new pooled Rasch scale are effectively the same LLM difficulty axis.,55 approved eval rows,previous LLM latent difficulty,pooled LLM Rasch difficulty,Pearson r with bootstrap CI and permutation p-value,The two LLM difficulty estimates are unrelated.,0.9909232241394522,0.9838517334906705,0.9965036269858384,0.000166652778935,55,,0.000357113097718,True,statistical_hypothesis_key_tests.csv,True,True
llm_internal_consistency,S4,Pooled Rasch difficulty and simple LLM logit difficulty are almost identical on the approved subset.,55 approved eval rows,pooled LLM Rasch difficulty,LLM logit difficulty,Pearson r with bootstrap CI and permutation p-value,The two LLM difficulty summaries are unrelated.,0.9697495423230864,0.95283738932228,0.9810311134826368,0.000166652778935,55,,0.000357113097718,True,statistical_hypothesis_key_tests.csv,True,True
difference_claims,D1,Cyclomatic complexity is more strongly associated with LLM difficulty than with human difficulty.,17 approved ARC-2 eval overlap tasks,cyclomatic complexity,corr(LLM difficulty) - corr(human difficulty),Bootstrap difference of correlations,Cyclomatic complexity is equally associated with human and LLM difficulty.,0.4406517983428232,0.0235690036936006,0.9091021347940524,0.03775,17,"Raw correlations: human=0.150, llm=0.591",0.0471874999999999,True,statistical_hypothesis_key_tests.csv,True,True
difference_claims,D2,Human duration is more strongly associated with human difficulty than with LLM difficulty.,17 approved ARC-2 eval overlap tasks,mean human duration,corr(human difficulty) - corr(LLM difficulty),Bootstrap difference of correlations,Human duration is equally associated with human and LLM difficulty.,0.3744313312399293,-0.0575410041753084,0.8027143310804027,0.082,17,"Raw correlations: human=0.425, llm=0.050",0.0878571428571428,False,statistical_hypothesis_key_tests.csv,False,False
difference_claims,D3,Human-specific residual difficulty still tracks human duration after removing shared LLM difficulty.,17 approved ARC-2 eval overlap tasks,mean human duration,residual human difficulty after LLM,Pearson r with bootstrap CI and permutation p-value,Residual human difficulty is unrelated to human duration.,0.4698815654181313,0.0667665067124466,0.7663941683774853,0.0504957920173318,17,,0.0582643754046137,False,statistical_hypothesis_key_tests.csv,False,False
difference_claims,D4,LLM-specific residual difficulty still tracks solver structure after removing shared human difficulty.,17 approved ARC-2 eval overlap tasks,cyclomatic complexity,residual LLM difficulty after human,Pearson r with bootstrap CI and permutation p-value,Residual LLM difficulty is unrelated to cyclomatic complexity.,0.6031976748169638,0.2840480388905316,0.8161553117514658,0.0116656945254562,17,,0.0194428242090936,True,statistical_hypothesis_key_tests.csv,True,True
human_pair_level,H1,"On well-sampled public-eval pairs, human difficulty tracks human time cost.",110 public-eval task pairs with >=8 attempts,mean human duration,human pair difficulty,Pearson r with bootstrap CI and permutation p-value,Human difficulty is unrelated to human time cost.,0.3906306299372812,0.2376225743012152,0.5392122573614259,0.000166652778935,110,,0.000357113097718,True,statistical_hypothesis_key_tests.csv,True,True
human_pair_level,H2,"On well-sampled public-eval pairs, raw board size alone is weak for human difficulty.",110 public-eval task pairs with >=8 attempts,input cells,human pair difficulty,Pearson r with bootstrap CI and permutation p-value,Human difficulty is unrelated to input grid size.,-0.096202619042207,-0.2749463418759117,0.0856119339823843,0.3108074327139405,110,,0.3108074327139405,False,statistical_hypothesis_key_tests.csv,False,False
